,TIME,,,TAC,,,CELLID,,,PCI,,,ARFCN,,,RSRP,,,RSRQ,,,Latitude,,,Longitude,
,13/01/2020 11:24:23,,,43510,,,636606,,,231,,,3526,,,-44,,,-9,,,,,,,
,13/01/2020 11:24:26,,,-1,,,Error,,,0,,,0,,,0,,,0,,,0,,,0,
,13/01/2020 11:24:28,,,43510,,,636606,,,231,,,3526,,,-44,,,-9,,,,,,,
,13/01/2020 11:26:22,,,-1,,,Error,,,0,,,0,,,0,,,0,,,0,,,0,
,13/01/2020 11:26:23,,,43510,,,636606,,,231,,,3526,,,-44,,,-9,,,6.921652,,,79.881617,
,13/01/2020 11:26:30,,,43510,,,636606,,,231,,,3526,,,-44,,,-9,,,6.921652,,,79.881617,
,13/01/2020 11:26:35,,,43510,,,636606,,,231,,,3526,,,-44,,,-9,,,6.921646,,,79.881610,
,13/01/2020 11:26:40,,,43510,,,636606,,,231,,,3526,,,-44,,,-9,,,6.921644,,,79.881608,
,13/01/2020 11:26:45,,,43510,,,636606,,,231,,,3526,,,-44,,,-9,,,6.921643,,,79.881606,
,13/01/2020 11:26:50,,,43510,,,636606,,,231,,,3526,,,-44,,,-9,,,6.921642,,,79.881605,
,13/01/2020 11:26:55,,,43510,,,636606,,,231,,,3526,,,-44,,,-9,,,6.921641,,,79.881604,
,13/01/2020 11:27:00,,,43510,,,636606,,,231,,,3526,,,-44,,,-9,,,6.921640,,,79.881604,
,13/01/2020 11:27:05,,,43510,,,636606,,,231,,,3526,,,-44,,,-9,,,6.921639,,,79.881603,
