,TIME,,,TAC,,,CELLID,,,PCI,,,ARFCN,,,RSRP,,,RSRQ,,,Latitude,,,Longitude,
,11/01/2020 19:51:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020567,,,79.899339,
,11/01/2020 19:52:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020568,,,79.899352,
,11/01/2020 19:52:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020569,,,79.899353,
,11/01/2020 19:53:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020569,,,79.899353,
,11/01/2020 19:53:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020569,,,79.899353,
,11/01/2020 19:54:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020567,,,79.899354,
,11/01/2020 19:54:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020566,,,79.899353,
,11/01/2020 19:55:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020565,,,79.899354,
,11/01/2020 19:55:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020564,,,79.899355,
,11/01/2020 19:56:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020563,,,79.899355,
,11/01/2020 19:56:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020561,,,79.899356,
,11/01/2020 19:57:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.020599,,,79.899349,
,11/01/2020 19:57:47,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.021304,,,79.899430,
,11/01/2020 19:58:17,,,63530,,,29708,,,791 DCS 1800,,,0,,,Error,,,Error,,,7.023300,,,79.899666,
,11/01/2020 19:58:47,,,63530,,,29706,,,781 DCS 1800,,,0,,,Error,,,Error,,,7.024432,,,79.899846,
,11/01/2020 19:59:17,,,63530,,,29706,,,781 DCS 1800,,,0,,,Error,,,Error,,,7.023723,,,79.900411,
,11/01/2020 19:59:47,,,63530,,,29706,,,781 DCS 1800,,,0,,,Error,,,Error,,,7.024058,,,79.900890,
,11/01/2020 20:00:17,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023924,,,79.902203,
